Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDK33,OUT017,4155.19163
NCD07,OUT045,1460.851329
NCX29,OUT027,3713.706755
NCT42,OUT013,2402.511133
DRN59,OUT035,830.1299779
FDI44,OUT035,1446.941525
FDA45,OUT049,2209.714978
FDP31,OUT045,991.4311209
FDY01,OUT046,1849.757027
FDT09,OUT018,1857.420533
DRH03,OUT027,2584.911082
FDA36,OUT018,2524.133024
NCF31,OUT017,2309.358186
FDG14,OUT049,2515.27095
FDG28,OUT027,5420.429216
FDU14,OUT049,3572.528877
FDY47,OUT019,313.2793091
FDI56,OUT049,1517.096392
DRD01,OUT013,861.3015917
FDM22,OUT046,1119.561864
FDH33,OUT013,745.3809022
DRZ24,OUT013,2084.533758
NCQ38,OUT046,1645.976389
FDO16,OUT027,2436.01321
FDU07,OUT027,4035.572526
NCB07,OUT013,2564.640175
FDU48,OUT045,1744.926851
NCM43,OUT045,2558.325106
FDR31,OUT010,306.530998
DRK49,OUT018,600.6179382
NCI30,OUT010,682.7783805
DRD60,OUT017,3221.739851
NCG19,OUT046,3264.029569
FDH12,OUT035,1702.142952
FDM32,OUT035,1706.557127
FDM27,OUT035,2592.954173
NCU53,OUT027,4403.262786
NCQ18,OUT046,1784.723292
FDS10,OUT013,3122.522574
FDB33,OUT027,4454.913161
FDI12,OUT013,1289.920849
NCW42,OUT013,3808.578938
NCC06,OUT018,1828.976561
FDW02,OUT017,2163.969277
NCD43,OUT017,1693.241262
FDM57,OUT018,1141.986847
FDA58,OUT017,3469.415285
FDK56,OUT046,2985.018865
FDP52,OUT045,3896.099436
FDW20,OUT018,1677.822132
FDS52,OUT049,1577.688419
NCT29,OUT018,1663.781714
NCL54,OUT013,3047.374915
FDC05,OUT045,2522.151849
FDF34,OUT035,2796.336486
FDP03,OUT027,3022.022907
FDD32,OUT010,169.9413084
FDZ10,OUT045,2019.6238
FDZ40,OUT035,883.5646189
FDD51,OUT018,795.8603751
NCY30,OUT019,409.3103598
FDP58,OUT017,3544.385278
FDV49,OUT017,4236.739441
FDY24,OUT019,206.6252303
NCO55,OUT017,1635.284244
FDR13,OUT017,2040.89254
FDS51,OUT017,1027.970507
FDP26,OUT045,1406.443432
NCB54,OUT027,3147.945185
FDF32,OUT017,3244.779861
FDN31,OUT018,2649.433452
DRM48,OUT017,816.5372237
FDN20,OUT049,2837.117983
DRL01,OUT046,3293.980125
FDV56,OUT049,1580.725513
DRH13,OUT027,2565.943957
FDA03,OUT017,2409.219504
FDF47,OUT027,4805.377496
FDX32,OUT046,2629.28615
FDX57,OUT049,1931.631299
NCA30,OUT045,2843.883022
FDO49,OUT013,719.6516239
FDL04,OUT019,244.0537618
DRM48,OUT035,805.4292219
FDR16,OUT013,3245.452302
NCC19,OUT018,2708.89839
NCE42,OUT045,2786.803569
FDY24,OUT017,1138.990308
FDH19,OUT049,2678.667906
FDJ46,OUT013,2642.442922
FDN45,OUT010,581.3216342
FDY08,OUT035,2296.658314
FDZ37,OUT035,1583.699113
NCT30,OUT045,922.7731764
DRY23,OUT018,669.1230057
NCZ30,OUT018,1811.335989
FDC44,OUT018,1521.31493
FDB45,OUT035,1890.442356
FDY04,OUT013,2436.53446
FDM27,OUT046,2407.667557
FDZ43,OUT017,4541.096759
FDT39,OUT019,353.9695913
NCC06,OUT019,346.7163191
FDL15,OUT027,4068.11557
FDL57,OUT017,4832.903319
FDU08,OUT046,1472.27496
FDK40,OUT017,3705.842579
FDQ12,OUT010,465.0651584
FDS48,OUT017,2662.375591
FDP09,OUT045,3358.245136
FDW21,OUT049,1645.531789
FDY25,OUT035,3559.409718
DRE13,OUT017,1462.46072
FDV43,OUT019,172.804137
FDD22,OUT045,1748.845068
FDM46,OUT019,303.2587537
NCO30,OUT010,451.9872533
FDM25,OUT046,2558.171367
NCN41,OUT049,2063.039881
FDU24,OUT045,1720.171527
FDZ50,OUT046,3128.522288
FDP45,OUT013,4074.819783
NCM54,OUT045,1661.529738
FDW10,OUT019,411.3460314
FDP20,OUT017,2126.874397
FDK32,OUT046,2602.48874
FDN52,OUT049,1284.239546
FDM58,OUT045,2052.593581
FDZ46,OUT027,3003.912682
NCA18,OUT018,1687.847795
FDD35,OUT046,2044.649645
NCK31,OUT035,963.9934121
FDI40,OUT027,2746.987695
FDT50,OUT019,242.4236216
NCT06,OUT046,2544.228341
FDT31,OUT035,2971.8966
FDT45,OUT049,938.8668895
FDT13,OUT045,3044.914713
FDO50,OUT045,1538.583432
NCU18,OUT010,297.0171625
NCR54,OUT049,3251.121504
NCO18,OUT018,2541.544033
FDU09,OUT045,906.5596018
FDT13,OUT018,2458.424492
FDE09,OUT046,1823.59155
NCK53,OUT019,283.6716674
FDG45,OUT049,3649.384886
DRH15,OUT035,831.7219204
FDO21,OUT019,512.5489577
FDD14,OUT027,4549.648115
FDC09,OUT046,1620.443612
FDH45,OUT027,1879.456949
FDV32,OUT046,1263.216283
FDG12,OUT035,2218.914378
FDS32,OUT013,2186.377515
NCL55,OUT018,3383.438538
DRE01,OUT035,4444.919014
DRE15,OUT049,1228.029162
NCL42,OUT045,3735.314293
FDP31,OUT013,1077.244992
FDN33,OUT018,1402.324203
FDZ59,OUT046,3155.443979
FDE45,OUT010,410.847936
FDJ07,OUT013,1718.623504
FDQ45,OUT018,2726.269362
FDM33,OUT027,5064.119876
FDO15,OUT010,186.7929378
FDM46,OUT013,1676.443393
FDR03,OUT045,3147.846106
FDY49,OUT018,2185.125435
FDQ60,OUT045,1859.025927
FDW10,OUT049,2494.568602
FDO51,OUT049,943.2447864
FDJ40,OUT018,1433.424681
FDS20,OUT018,2485.292736
FDU45,OUT013,2216.615677
FDV02,OUT035,2740.526532
FDN09,OUT046,3176.195327
NCM55,OUT027,4363.49314
FDN23,OUT018,2353.178767
FDY31,OUT010,383.5685886
FDW03,OUT010,275.692161
FDD14,OUT046,2821.058399
FDV23,OUT017,1824.553328
DRI03,OUT045,2401.672801
FDN13,OUT035,1456.678716
FDF45,OUT027,2178.660402
FDU46,OUT035,1570.223222
FDB57,OUT049,3562.923757
FDV12,OUT049,1897.535863
FDQ58,OUT013,2324.066161
NCA18,OUT017,1779.455244
FDH52,OUT049,966.5069507
FDM24,OUT018,2277.24574
NCP43,OUT027,4358.821166
NCO18,OUT019,417.0032132
FDM32,OUT017,1537.397307
NCL07,OUT017,717.5360266
FDK03,OUT013,4548.545372
FDP59,OUT017,1701.621809
FDQ24,OUT049,3636.223262
FDQ16,OUT018,1492.524112
FDU44,OUT013,2428.780938
FDH28,OUT010,145.0237828
FDV28,OUT019,162.1898274
FDM22,OUT045,915.1911697
FDR56,OUT046,2609.120096
FDV39,OUT049,2868.679372
FDU37,OUT019,261.738722
FDQ11,OUT010,734.6783888
FDX02,OUT045,3830.991153
NCS42,OUT018,1500.355685
FDY57,OUT027,2752.796189
FDB21,OUT049,3627.865048
FDE28,OUT017,3188.254333
FDQ55,OUT017,2155.751968
FDA48,OUT049,3633.33271
FDZ19,OUT045,2365.673573
NCC43,OUT045,3260.151936
NCV18,OUT046,1537.166195
NCA42,OUT018,2635.699944
FDY45,OUT046,3417.329546
NCC30,OUT045,2801.083186
FDM57,OUT013,1485.053982
FDL09,OUT010,422.411777
FDB09,OUT027,3308.952995
FDT44,OUT035,1865.500577
NCT06,OUT027,4261.641266
FDX26,OUT049,3241.007989
FDK32,OUT013,2470.371174
DRA12,OUT046,2018.886174
FDO46,OUT010,549.5139611
FDE52,OUT013,1378.653328
NCH42,OUT045,3537.526057
FDV08,OUT035,806.7315753
FDB47,OUT018,2586.551248
FDC28,OUT010,240.7288361
FDD22,OUT046,1746.903736
FDS07,OUT027,3162.825601
DRI13,OUT045,3201.891886
FDG32,OUT018,3331.832783
FDU14,OUT017,3640.242123
FDD28,OUT019,181.4687561
NCP41,OUT017,1675.250273
FDS08,OUT049,2656.560631
FDX47,OUT045,2309.573708
FDC53,OUT019,240.0086346
FDQ19,OUT035,3751.136057
FDL14,OUT045,2426.21569
FDM33,OUT019,492.9895629
FDA51,OUT045,1891.82563
FDZ27,OUT018,850.573601
FDT04,OUT046,755.4470571
DRC13,OUT049,2020.946626
FDR16,OUT027,4914.823556
FDQ03,OUT027,5458.141875
FDE38,OUT035,2850.186696
DRH23,OUT027,2160.924371
FDT11,OUT019,579.434196
FDD09,OUT035,3067.229498
FDR40,OUT045,1400.938333
FDX07,OUT017,3076.186274
FDR07,OUT035,2183.579842
FDA51,OUT017,1927.987175
FDT59,OUT019,629.8215147
FDF20,OUT017,3243.06736
FDR13,OUT045,1815.757594
FDY26,OUT049,3363.275579
FDW04,OUT017,1870.568887
FDK52,OUT017,4505.700773
FDN60,OUT049,2888.668637
FDM09,OUT019,444.0929494
FDP46,OUT049,1527.815095
FDB50,OUT019,302.7125992
NCQ29,OUT049,3560.850952
FDP16,OUT027,5454.045055
FDX33,OUT018,2522.614884
FDP07,OUT010,497.440729
FDN22,OUT046,3465.063887
FDF39,OUT049,3988.548406
FDS21,OUT017,1008.353254
NCM42,OUT013,1726.571379
FDK50,OUT019,503.3908698
DRF13,OUT027,3674.068618
FDH35,OUT018,2216.564977
FDP60,OUT018,1448.037708
DRJ49,OUT027,2814.947436
NCT42,OUT019,359.7090794
FDE38,OUT049,2503.981785
FDI04,OUT049,3453.204516
NCH54,OUT045,2724.383762
FDT56,OUT049,982.2527507
DRD15,OUT018,3170.784445
FDV58,OUT013,2927.330621
FDP21,OUT049,3512.503292
FDH05,OUT013,3346.537776
FDR10,OUT027,4366.534749
NCP06,OUT045,2108.025981
FDF33,OUT049,1821.099509
DRK37,OUT013,3540.153991
DRH49,OUT045,1343.359057
FDT58,OUT013,2678.04645
FDD41,OUT018,1473.634115
FDP40,OUT018,1903.037827
FDM51,OUT027,2752.751757
FDO45,OUT010,202.3181986
FDW33,OUT010,278.8919893
FDY24,OUT045,1172.034472
FDB10,OUT010,550.9807162
FDM40,OUT035,2257.727678
NCI06,OUT017,3543.125399
FDW12,OUT019,323.9873143
FDX48,OUT027,4003.508685
NCW05,OUT027,2762.271183
FDX27,OUT017,1611.276938
DRM37,OUT045,3261.857954
FDA38,OUT045,3510.965201
FDR36,OUT046,867.2054236
FDZ45,OUT046,3207.524322
FDG05,OUT017,2530.767507
FDK28,OUT013,4803.424794
FDV47,OUT045,1395.915645
FDN21,OUT045,2515.177109
FDP20,OUT027,2976.845906
FDI35,OUT045,3133.218646
DRY23,OUT013,869.6323432
FDA56,OUT017,2034.221165
FDB09,OUT013,1889.033505
NCO26,OUT027,2814.741265
FDQ49,OUT018,2703.503968
FDI52,OUT027,2857.303222
FDZ44,OUT027,3107.063622
FDZ09,OUT018,2593.120984
FDY03,OUT049,2090.628942
NCG42,OUT017,2393.788345
DRI13,OUT027,5379.720163
FDQ32,OUT013,2085.555619
FDW16,OUT035,1309.287421
FDU27,OUT046,962.6557862
FDR28,OUT010,385.9138631
FDQ49,OUT010,449.904805
FDS37,OUT046,1865.874678
FDW26,OUT018,3297.054781
FDX12,OUT018,2939.341378
NCP06,OUT013,2516.674151
FDW45,OUT010,322.909294
NCN30,OUT049,1560.441934
FDN24,OUT049,968.9342407
NCL41,OUT027,1785.97312
FDR02,OUT019,285.2381715
FDD09,OUT010,453.3582965
FDS33,OUT010,207.0009486
FDU22,OUT045,1765.730215
FDI53,OUT013,2242.425617
DRH01,OUT049,2808.335302
FDX32,OUT013,2376.876514
NCP30,OUT018,687.1228268
FDB60,OUT045,2857.644642
FDB14,OUT049,1499.070586
NCP02,OUT035,921.0183032
FDJ10,OUT017,1996.818462
FDG34,OUT046,1808.986288
NCB18,OUT017,1582.698602
FDM16,OUT049,1164.479023
FDW25,OUT018,1451.515233
FDB35,OUT010,215.4685457
DRN11,OUT013,2269.220803
FDF41,OUT019,584.4064604
FDH16,OUT045,1355.835593
NCQ50,OUT018,2991.608907
DRH23,OUT018,934.8984025
DRJ37,OUT013,2338.618475
DRJ24,OUT027,4507.171083
FDY16,OUT035,3158.300976
FDQ27,OUT045,1791.559843
FDZ33,OUT045,2217.003007
FDF29,OUT045,1912.980097
FDA08,OUT049,3223.521571
FDG31,OUT046,1172.469151
FDE34,OUT019,597.7337313
NCR30,OUT027,2228.903883
FDV33,OUT035,4260.249007
DRZ24,OUT018,1550.83058
NCL54,OUT035,3093.096887
FDR12,OUT049,3033.999585
NCC54,OUT046,4035.432001
DRN59,OUT013,830.352832
FDX50,OUT019,255.1105597
FDV31,OUT027,4608.021233
NCA29,OUT027,4502.617134
FDW60,OUT049,3327.191137
FDX08,OUT017,3134.810178
DRD49,OUT013,3821.030269
FDD33,OUT046,3509.945762
FDW35,OUT013,799.8325061
FDJ36,OUT017,1799.057301
FDV51,OUT035,3362.682797
FDW36,OUT046,1744.3245
FDH35,OUT046,2624.198681
NCS30,OUT027,3095.888275
FDN49,OUT017,784.3915987
FDL08,OUT018,2837.725251
FDI09,OUT013,3435.549188
FDP19,OUT018,1701.363469
FDU21,OUT010,136.740596
NCP41,OUT045,1568.712789
FDY10,OUT013,1943.690106
FDP12,OUT018,683.6462143
NCN26,OUT049,2156.307078
FDK44,OUT013,2932.914169
FDC28,OUT049,1512.664914
FDJ41,OUT027,5400.527365
NCT29,OUT035,1864.064478
NCH42,OUT019,509.1663622
FDU60,OUT018,2634.427351
FDS02,OUT045,3010.289688
FDC51,OUT046,1990.471868
FDU03,OUT013,3311.763437
FDX39,OUT045,3294.788443
NCY05,OUT010,150.6757972
NCL06,OUT027,5259.866996
FDD32,OUT035,1385.193227
NCN41,OUT045,1712.186389
NCX53,OUT049,2427.100302
FDU57,OUT019,325.6397443
FDQ23,OUT046,1994.164147
FDQ52,OUT045,4573.291998
FDC14,OUT045,681.8723393
FDY09,OUT035,3605.588295
FDQ28,OUT045,2678.387559
FDV25,OUT046,3887.755892
FDJ07,OUT035,1980.979971
DRB25,OUT049,1654.458342
FDK52,OUT019,643.9594946
FDY52,OUT027,1966.870665
FDB28,OUT046,3488.023061
FDT36,OUT035,674.6972956
FDV25,OUT017,3913.585242
NCN07,OUT027,3033.131407
FDC57,OUT017,3252.158623
FDQ03,OUT018,3374.538738
FDU23,OUT017,2891.026618
NCX41,OUT035,3676.046465
NCD06,OUT035,846.035181
FDW08,OUT045,1652.111604
NCU29,OUT017,2379.874434
NCE06,OUT013,2563.27593
FDV52,OUT010,233.4227498
FDB02,OUT017,2979.025764
NCR18,OUT045,696.9714094
FDK16,OUT049,1464.553688
NCQ29,OUT010,569.3655158
FDZ01,OUT019,273.8343119
FDW27,OUT035,2463.688326
FDD17,OUT018,3453.0314
FDW39,OUT013,2756.132681
DRH59,OUT045,1049.31612
FDS52,OUT013,1238.864946
FDU40,OUT027,5146.008279
NCF54,OUT013,2601.673408
FDH46,OUT045,1644.36601
NCP14,OUT049,1711.563689
FDH50,OUT049,3089.171163
DRF15,OUT010,327.846951
FDV27,OUT027,2558.858646
NCJ06,OUT049,2182.027061
FDN02,OUT018,2744.252212
FDQ51,OUT049,1008.575195
FDQ07,OUT017,4564.671327
FDS45,OUT049,1850.627008
NCJ06,OUT045,1711.762629
FDD36,OUT035,2040.29038
FDY25,OUT045,3010.540035
FDU52,OUT046,2674.259121
DRK47,OUT017,3616.049117
NCL30,OUT017,2060.427417
FDN22,OUT035,3885.851472
NCF30,OUT027,3147.632454
FDK03,OUT035,4561.932858
FDT45,OUT017,874.1386867
NCC54,OUT027,5207.793177
FDP08,OUT018,3034.290696
FDU44,OUT046,2550.651415
DRG39,OUT035,802.4582375
FDU32,OUT049,1951.112632
FDY27,OUT049,2829.230062
NCP54,OUT013,2013.918184
NCZ41,OUT049,2005.416898
DRL49,OUT013,2322.574411
FDI05,OUT018,1123.583433
FDY56,OUT045,4579.41803
DRC13,OUT013,1893.066202
NCV29,OUT017,3003.759861
FDR24,OUT049,1335.377309
FDZ34,OUT018,2630.856475
FDP37,OUT035,2024.348812
FDX08,OUT027,4891.494331
FDS57,OUT045,1896.343889
NCG18,OUT049,1734.710416
FDK25,OUT018,2714.113312
FDH53,OUT049,1542.796703
DRI59,OUT018,2976.522438
FDA52,OUT046,2472.061184
FDT20,OUT010,148.2052277
FDE36,OUT019,456.2270573
FDI24,OUT017,2731.496146
FDB28,OUT018,2925.78471
FDV11,OUT017,2586.044568
FDP01,OUT046,2159.546669
FDD34,OUT027,4155.278258
FDJ50,OUT027,1976.429049
FDZ44,OUT013,1737.361485
DRO59,OUT035,1426.459344
DRB48,OUT045,891.8550539
FDR21,OUT018,2586.997919
NCE42,OUT010,578.1797092
FDO23,OUT046,1614.761158
NCE30,OUT018,3075.232867
FDQ22,OUT035,797.8341677
FDY01,OUT045,1827.724007
FDS08,OUT017,2354.347704
FDG28,OUT018,3188.83936
FDQ51,OUT018,844.9699724
FDB05,OUT017,4266.183473
FDO56,OUT049,2094.543764
FDE02,OUT018,1279.255201
FDN45,OUT017,3943.908379
FDS09,OUT013,797.8067112
NCA54,OUT018,2471.248299
FDP09,OUT010,519.8078761
FDC53,OUT045,1209.426845
NCM55,OUT017,3082.197698
FDL09,OUT018,2771.155572
FDA11,OUT019,304.4052154
FDA50,OUT045,1545.882459
FDC23,OUT017,3675.231568
FDE22,OUT049,2638.670395
FDD23,OUT046,3502.091509
NCA29,OUT049,3510.943865
FDK38,OUT046,2397.898593
DRC13,OUT046,2033.641633
NCP43,OUT049,2995.826323
FDX28,OUT049,1415.7379
FDF08,OUT049,1463.561806
FDZ33,OUT046,2438.079806
FDD10,OUT049,2559.866059
FDO58,OUT017,2658.368138
FDI50,OUT017,3898.629107
FDO58,OUT045,2541.385733
FDX08,OUT013,3557.308244
NCK17,OUT010,156.9485713
FDF39,OUT035,4860.864291
FDU45,OUT010,279.6543292
NCJ18,OUT018,1680.074717
DRC27,OUT019,563.0476715
DRC25,OUT035,1537.152273
FDU59,OUT035,2424.914739
FDU28,OUT035,3142.095926
NCP30,OUT046,743.5741959
FDB39,OUT018,936.3783562
FDE41,OUT013,1404.869971
DRH11,OUT010,166.3443887
FDA58,OUT045,3388.575988
FDU50,OUT046,1830.608995
FDM34,OUT013,2252.465211
FDM44,OUT027,2782.982727
FDR39,OUT045,2756.767713
FDM25,OUT045,2696.625346
FDQ49,OUT049,2191.943611
DRH25,OUT018,856.6388805
FDM09,OUT027,4124.598587
FDL44,OUT019,462.1380298
NCR42,OUT018,626.7436407
DRL59,OUT046,976.4478993
FDX43,OUT013,2537.048086
DRK47,OUT010,544.1769235
FDU48,OUT018,1504.495085
FDY12,OUT045,904.4624402
NCN43,OUT018,1724.888023
NCM55,OUT018,2488.018799
FDQ21,OUT027,2939.246064
FDX13,OUT035,3960.45058
NCK30,OUT027,4781.090226
FDG20,OUT049,2642.928003
DRG27,OUT017,778.3671401
FDY14,OUT018,3743.426527
FDP59,OUT035,1856.7428
FDU60,OUT017,2984.150479
NCC18,OUT019,537.0989554
DRJ39,OUT017,3826.032888
FDS07,OUT049,1915.764469
FDM08,OUT027,5207.945958
FDP51,OUT045,1758.710904
FDU16,OUT035,1339.813969
FDH12,OUT013,1984.392155
DRE48,OUT010,512.0389488
NCL42,OUT027,5599.033393
